value,key,area,count,length,n_chips,node,way,length_per_way,AREA/LENGTH,ways/chip,area_per_way,pixels per chip,,raul's decision,raul's comments,freddie's decision,freddie's comments,use
underground,parking,465724.2803,739,24830.00838,209,645,94,264.1490253,18.75650919,0.4497607656,4954.51362,22.28345839,,,,0,,0
no,parking,7848.539769,132,17321.02751,33,39,93,186.2476076,0.453122066,,84.39290074,,,,,,,
rooftop,parking,167793.6757,110,14735.296,69,33,77,191.3674805,11.38719411,,2179.138646,,,,,,,
sheds,parking,19366.1146,61,5736.534645,11,1,60,95.60891075,3.375925677,,322.7685767,,,,,,,
yes,parking,708756.0032,274,11049.00057,25,247,27,409.2222432,64.14661661,,26250.22234,,,,,,,
parallel,parking,150.561659,16,1860.678341,3,0,16,116.2923963,0.08091761788,,9.410103688,,,,,,,
garage,parking,38984.6093,14,2740.000147,8,4,10,274.0000147,14.22795883,,3898.46093,,,,,,,
covered,parking,4805.385891,9,1458.832295,1,0,9,162.0924772,3.29399473,,533.9317657,,,,,,,
street,parking,2543.304028,6,848.8803088,3,0,6,141.4800515,2.996069059,,423.8840046,,,,,,,
service,parking,4879.801008,6,864.508572,3,0,6,144.084762,5.644595284,,813.3001681,,,,,,,
suu,parking,710.6402777,5,380.1497173,1,0,5,76.02994347,1.869369475,,142.1280555,,,,,,,
customer,parking,1822.102926,5,1747.681213,3,0,5,349.5362427,1.042583116,,364.4205852,,,,,,,
shoulder,parking,3320.24607,3,448.7958266,3,0,3,149.5986089,7.398121535,,1106.74869,,,,,,,
disabled,parking,148.0721665,3,85.39690351,2,0,3,28.4656345,1.733928989,,49.35738885,,,,,,,
main,usage,3167.041528,15095,8958858.105,3416,4,15091,593.6556958,0.0003535095088,,0.2098629334,,,,,,,
industrial,usage,6572.116555,5724,2520825.785,945,1,5723,440.4727914,0.002607128423,,1.148369134,,,,,,,
branch,usage,0,4643,3018241.221,1700,0,4643,650.0627227,0,,0,,,,,,,
irrigation,usage,0,1036,344921.5721,184,0,1036,332.9358804,0,,0,,,,,,,
military,usage,0,1029,417839.0321,103,1,1028,406.4582024,0,,0,,,,,,,
tourism,usage,201287.1183,729,305395.043,180,2,727,420.0757125,0.6591040781,4.038888889,276.8736152,11.18261768,,,,0,,0
transmission,usage,1984.065319,633,411438.4379,228,1,632,651.0101865,0.00482226534,,3.139343858,,,,,,,
penstock,usage,0,164,83798.37202,76,0,164,510.9656831,0,,0,,,,,,,
spillway,usage,359480.1838,133,34729.53843,87,1,132,263.1025639,10.3508483,,2723.334726,,,,,,,
headrace,usage,0,110,55274.71529,51,0,110,502.4974117,0,,0,,,,,,,
tailrace,usage,0,21,3249.705801,6,0,21,154.7478953,0,,0,,,,,,,
science,usage,0,6,1763.815188,1,0,6,293.9691979,0,,0,,,,,,,
spillway_chute,usage,30390.58765,4,1429.915627,2,0,4,357.4789067,21.25341319,,7597.646912,,,,,,,
marine railway,usage,0,3,124.2330012,1,0,3,41.41100039,0,,0,,,,,,,
station,usage,0,2,84.90751538,1,0,2,42.45375769,0,,0,,,,,,,
test,usage,2294.46153,2,211.1871211,1,0,2,105.5935605,10.86459022,,1147.230765,,,,,,,
marine,usage,0,1,23.42241642,1,0,1,23.42241642,0,,0,,,,,,,
amphitheatre,usage,1483.063509,1,158.9767759,1,0,1,158.9767759,9.328806046,,1483.063509,,,,,,,
outlet,usage,422.4933733,1,85.13713774,1,0,1,85.13713774,4.962503844,,422.4933733,,,,,,,
empty,usage,1402.510827,1,148.3765048,1,0,1,148.3765048,9.452378114,,1402.510827,,,,,,,
grape,crop,1300175415,13423,14328765.58,1888,0,13423,1067.478625,90.73882937,7.109639831,96861.76082,6886.522328,,1,,1,unclear via S2,1
field_cropland,crop,2295130064,9707,17891751.01,1372,0,9707,1843.180284,128.2786722,7.075072886,236440.7194,16728.35323,,1,,1,unclear via S2,1
WINE GRAPES,crop,81248076.44,1578,1429839.854,224,0,1578,906.108906,56.82320032,7.044642857,51488.00788,3627.14627,,,,1,,1
